name,lat,lon,population_density
Ambala Air Force Station,30.3681,76.8167,1129.5645
Sri Guru Ram Dass Jee International Airport Amritsar,31.7096,74.7973,426.903
Awantipur Air Force Station,33.8766,74.9757,629.5268
Adampur Air Force Station,31.4338,75.7588,1207.5883
Nal Airport,28.0706,73.2072,25.198784
Bakshi Ka Talab Air Force Station,26.9883,80.8931,1154.1322
Kullu Manali Airport,31.8767,77.1544,101.23791
Bhatinda Air Force Station,30.2701,74.7558,636.9718
Bhiwani Airport,28.837,76.1791,642.15265
Bareilly Air Force Station,28.4221,79.4508,2649.3433
Chandigarh Airport,30.6735,76.7885,7332.755
Kanpur Chakeri Airport,26.4043,80.4101,3401.6313
Safdarjung Airport,28.5845,77.2058,2497.8738
Pithorgarh Airport,29.5936,80.2392,338.78165
Dehradun Airport,30.1897,78.1803,1102.1483
Indira Gandhi International Airport,28.5665,77.1031,6240.5815
Hindon Air Force Station,28.7077,77.3589,8008.747
Kangra Airport,32.1651,76.2634,339.82727
Gwalior Airport,26.2933,78.2278,718.3931
Hissar Airport,29.1794,75.7553,529.88306
Halwara Air Force Station,30.7485,75.6298,581.3609
Jhansi Airport,25.4912,78.5584,827.6027
Jodhpur Airport,26.2511,73.0489,667.3172
Jaipur International Airport,26.8242,75.8122,1330.9761
Jaisalmer Airport,26.8887,70.865,13.780173
Jammu Airport,32.6891,74.8374,903.3429
Old Kanpur Airport,26.4414,80.3649,3401.6313
"Kishangarh Airport, Ajmer",26.59117,74.81617,1072.2524
Kota Airport,25.1602,75.8456,899.15356
Ludhiana Airport,30.8547,75.9526,2604.6262
Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,3.7427926
Chaudhary Charan Singh International Airport,26.7606,80.8893,4377.161
Lalitpur Airport,24.717,78.417,341.2344
Noida International Airport,28.17,77.61,808.76227
Pathankot Air Force Station,32.2338,75.6346,964.4409
Patiala Airport,30.3148,76.3645,827.18097
Pantnagar Airport,29.0334,79.4737,1067.908
Fursatganj Airport,26.2485,81.3805,1028.025
Sirsa Air Force Station,29.5606,75.0061,408.2811
Shimla Airport,31.0818,77.068,211.71289
Sarsawa Air Force Station,29.9939,77.4253,722.82574
Sheikh ul Alam Airport,33.9871,74.7742,909.99835
Satna Airport,24.5623,80.8549,1308.4812
Shravasti Airport,27.503056,82.026944,884.61816
Uttarlai Airport,25.813,71.4823,298.02356
Udhampur Air Force Station,32.9022,75.1562,657.05225
Kovilpatti Airport,9.15389,77.8212,452.71365
Harihar Airport,14.5351,75.7874,355.24445
Campbell Bay Airport,7.01304,93.9228,-3.402823e+38
Hosur Airport,12.6613,77.7672,560.0098
Arkonam Airport,13.0712,79.6912,553.92676
Agatti Airport,10.8237,72.176,-3.402823e+38
HAL Airport,12.95,77.6682,458.535
Bellary Airport,15.1628,76.8828,599.9926
Bengaluru International Airport,13.1979,77.7063,12518.83
Bidar Air Force Station,17.9081,77.4871,528.76575
Vijayawada Airport,16.5304,80.7968,496.84424
Coimbatore International Airport,11.03,77.0434,1283.3203
Willingdon Island Air Base,9.94739,76.2731,-3.402823e+38
Cochin International Airport,10.152,76.4019,1451.0776
Calicut International Airport,11.1368,75.9553,1355.6951
Cuddapah Airport,14.51,78.7728,214.53464
Car Nicobar Air Force Station,9.15251,92.8196,-3.402823e+38
Dundigul Air Force Academy,17.6272,78.4034,6186.2173
Dunakonda Airport,15.833,79.5,156.27611
Manohar International Airport,15.7322,73.868,351.86768
Kalaburagi,17.30778,76.95806,529.93274
Dabolim Airport,15.3808,73.8314,2186.4844
Hakimpet Airport,17.5535,78.5249,6253.8105
Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,863.6438
Begumpet Airport,17.4531,78.4676,15925.626
Vijayanagar Aerodrome (JSW),15.17497,76.63495,245.45796
Kannur International Airport,11.91583,75.54583,830.047
Koppal Aerodrome,15.3591,76.2193,329.60974
Kurnool Airport,15.713681,78.161561,173.41888
Madurai Airport,9.83451,78.0934,5160.659
Mangalore International Airport,12.9613,74.8901,1895.8252
Chennai International Airport,12.99001,80.1693,5236.3564
Mysore Airport,12.3072,76.6497,1791.2406
Nagarjuna Sagar Airport,16.5427,79.3187,451.841
Vir Savarkar International Airport,11.6412,92.7297,382.31152
Pondicherry Airport,11.9687,79.8101,773.7279
Ramnad Naval Air Station,9.32509,78.9715,614.7603
Rajahmundry Airport,17.1104,81.8182,490.01346
Shivamogga Airport,13.854722,75.610556,486.17484
Salem Airport,11.7833,78.0656,864.21313
Coimbatore Air Force Station,11.0136,77.1597,637.92694
Tanjore Air Force Base,10.7224,79.1016,817.20233
Tuticorin Southwest Airport,8.72233,78.02617,1454.8026
Tirupati Airport,13.6325,79.5433,435.98615
Tiruchirapally Civil Airport Airport,10.7654,78.7097,10064.103
Trivandrum International Airport,8.48212,76.9201,-3.402823e+38
Tambaram Air Force Station,12.9072,80.1219,4689.2236
Vellore Airport,12.9088,79.0668,834.3682
Vishakhapatnam Airport,17.7212,83.2245,2133.2104
Warangal Airport,17.9144,79.6022,2785.0933
Yelahanka Air Force Station,13.1355,77.606,15537.797
